Comment,Author,PublishedAt,Type
"Will Australia/OCE be able to participate in future playtests?
A healthy roster would likely have ~1/3 melee characters or more. Considering the colour palette and effects, it would be great to have options for the individual player to tone down overlapping effects (similar to how Lost Ark has it). Even though you DO get used to messy effects with time, if this game is going to be 4v4v4v4v4 this is going to get very messy. (Also would be great to be able to have a minimalist HP/Mana bar- they're very chunky and overbearing in the footage).
I would prefer to see the models more robust like Battlerite, as it makes you feel ownership, weightiness of the character and makes it clear how to move around them, rather than the models appearing flat, janky, overstylized slideshows. 
Also err on the slower side of TTK. In later seasons and with players getting more experienced TTK almost always tends to lower in MOBAS and in FPS, which can lose the flavour or alienate new players, or that particular kind of player. Fine balance.",John Smith,2023-11-07T22:32:18Z,Top-level
"Is there gonna be a one player squad mode?, I'm not much of a team player, I like to play solo w/e the game is, and I think there are many like me.
Hope you success.",Zaidoun Azzam,2023-11-07T21:56:19Z,Top-level
"So hyped for this playtest! Augments sound like a great addition, loved them in TFT already. This year's arena mode in LoL also had augments and changes in maps, and guess what - it was hella fun! Keep it up guys, really looking forward to this game. We need another big player next to Dota & League!",Desruptor,2023-11-07T21:52:12Z,Top-level
"The map, map icons, forge, shops, quest givers, etc. Anything related to the map it's top on this playtest. People give this feedback a lot on the last 2 playtest and you delivered in just 2 months. You are an amazing team and wish you the best. Keep working!",Vireca,2023-11-07T21:46:33Z,Top-level
"I really wanna play this game, But i hope you guys do a better job at balancing the game then Riot, Because in league there's no high risk high reward anymore on melee characters or characters with allot of mobility, Everyone has a dash ETC. Have a rock paper scizors system, So that  situations are fair and when you do screw up or out play your opponent it's rewarding (K'sante i'm looking at you)",Kenshi,2023-11-07T21:41:47Z,Top-level
Shout out battlerite,timmy Mujeci,2023-11-07T21:37:12Z,Top-level
when is the open beta comming ?,Ahmed Moncef,2023-11-07T21:36:46Z,Top-level
"I am thrilled about the news regarding melee heroes. That was the one thing I found lacking in the playtest, I am excited for whatever you will be cooking! lets gooo",okguzelce,2023-11-07T21:14:44Z,Top-level
Anyone know what mic she's using?,Tom Wetherell,2023-11-07T20:41:11Z,Top-level
hyperx quadcast in white!,Theorycraft Games,2023-11-07T20:54:50Z,Reply
thanks! Looking forward to the playtest @Theorycraft Games,Tom Wetherell,2023-11-07T23:30:35Z,Reply
Loving the development philosophy and I'm super happy to be apart of the process!,PlanetPless,2023-11-07T20:26:33Z,Top-level
"This is everything I wanted out of an isometric game, BR's have been on a decline for me personally but this take on them just hooked me as soon as I saw the announcement. As a MOBA/FPS player this game has the best of both worlds. Cool abilities, good movement, variety of heroes and you have even more skill expression with the ""Aim-like"" system if you come from FPS games.",ghozter1,2023-11-07T20:09:40Z,Top-level
SAFELOCK!!!!,TheWillywilliamson,2023-11-07T20:04:30Z,Top-level
HYPE IS SO COOL!!!! I REALLY LOVE THIS IDEA,bladeprincess _,2023-11-07T19:52:31Z,Top-level
"I played 1 day with my friend and we stopped because we had legit 0 fun, some of the reason why : 

1) Can't duo
2) We were forced to tag with a random player, and when he had the lead on the drop, we couldn't jump before, we were forced to stay with him and go where he want, even if he's afk till the end, or he jump on a bad spot
3) The mecanic of the game that if you ""fly"" and get hit by enemy make you fall and die instantly end of the game is bad in my opinion.
4) All character with AoE Ult are broken because when we spawn we had all CD up, so we can just nuke an enemy by point and click it all together with unmissable AoE.
5) Less mechanics than Battlerite Royale around the ""jump"" and ""counter"" (on this game each character had 1 jump/dash/blink, and 1 counter/shield, and some other melee character had more than range ofc to be able to reach them). Here it feels like it's random and so some character are broken and some other useless, the game isn't balance, were in Battlerite Royale, all character were playable and played.

I am a huge fan of Battlerite Royale which is dead actually, but was one of my best gaming arc.
The gameplay was perfect, but what made player leave the game was that it's not free at start, and also the matchmaking was not ""new player friendly"".
Maybe you should when the game will be out, put a system that match all new players together during like the 20 first game, then an other group for those who've between 21-50 game played, and finaly group everyone randomly after like more than 50 game.

Without a MMR system (after 50 game) because this thing legit kill the fun of all Battle Royale, and the fun of all the goodplayer / streamer that want to play the game.
MMR is the worst system for BR because technically, if you get in a game of 100 player that are suppose to be at the same lvl than you, you will get 0,5 kill/each game. (you can't kill like 5-10 clone of yourself in row)

BattleRoyal should be natural selection, like darwin theory, put 100 random people together and let them fight thats all.

I know it was a playtest, so i hope you will make the game better in the next playtest/alpha, more like Battlerite Royale in the gameplay with of course, your add of what you think could be great.
I trust your team, you seems very dedicated.

Have nice day",Carbonara TV,2023-11-07T19:13:14Z,Top-level
anyone know when they are sending out new access codes?,pulluponme,2023-11-07T19:05:40Z,Top-level
sounds dope! now let me in lol,pulluponme,2023-11-07T19:04:53Z,Top-level
"I know you reading this coment, sooooo can i get a key please? I signing up to playtest like 3 months ago. 😞",Krzysiek Witkowski,2023-11-07T18:43:19Z,Top-level
"your time will come buddy be patient, just take it this way, the latter you get selected the better version of the game you'll get to play
i signed up in 1st of july and just got my email yesterday",Aymen Bx,2023-11-07T19:28:50Z,Reply
Just made my account,Husepher,2023-11-07T18:33:34Z,Top-level
giving every hero a reflect is sick as helllllllll,ULTRA GAMING CLIPS ,2023-11-07T18:25:07Z,Top-level
Living in asia and can't play the game. I'll be waiting for it though.,lGold adapon,2023-11-07T18:15:09Z,Top-level
Hope this comes to Asia 🥺 it looks amazing!,Laiya Ijekiel,2023-11-07T18:13:55Z,Top-level
"6:00 Auto-claiming duplicate items is a great qol change.
5:44 Removing slow after landing is not as cool, as those little details make game more nuanced and add to play potential. Like chasing down enemy and thinking ""ok if he can keep on flying he will escape, but if i get him to fail I will catch him after landing cause of this little slow..."" and so on.

Overall good to hear from you guys again.",bigdeadanimals,2023-11-07T18:03:00Z,Top-level
"That's a fair point re: landing slow - we have had those discussions but do feel there's a lot of other ways to demonstrate mastery through traversal / chasing, like pathing or  maintaining momentum in other ways. Landing slow IN PARTICULAR was just a thing the jump-spammers felt bad about. So we totally agree with the value but think there are other ways to hit it. GODOD TO HEAR FROM YOU TOO, BIGDEADANIMALS",Theorycraft Games,2023-11-07T20:57:09Z,Reply
I can't wait to get a key to try this game! You guys are making a good work in this game! Congratz!,[tj],2023-11-07T17:58:51Z,Top-level
good job <3,Damian Stroebel,2023-11-07T17:53:44Z,Top-level
Yeah the melee character problem is gonna feel like melee characters in an FPS. It's incredibly hard to make them interesting.,Tuvillo,2023-11-07T17:51:11Z,Top-level
looks awful,Woshigaki,2023-11-07T17:44:27Z,Top-level
"it's pre-alpha, give it time :)",Mika Carney,2023-11-07T18:40:27Z,Reply
"Juat listening to these concepts I wanna say a few things:
- A little more TTK is awesome! It kinda gives more time to adapt while not being TOO high that you just get one-shot if you find yourself in the wrong place at the wrong time  (my personal taste) 
- Following that last point, I will absolutely try using the Meele mechanic a lot as a movement option cause it sounds great! Both as a kind of risky offensive move and as an awesome reposition tool!
- Storm Shifts sound like that extra variety each game needed to give Loki the best replayabity factor! If done correctly they could be tons of fun, otherwise they could be a pain.
- Hype gives me ""Kill leader"" vibes which will feel good when you manage to outplay the Hype Squad in your game!
- I love all of those little changes at the end (Both QoL like autopickup and balance like the landing slow removal)",007meef,2023-11-07T17:42:31Z,Top-level
"i dont know how it would be implemented, but I feel like a dashing melee character similar to the reworked Irelia could do well. high skill ceiling with mobility, and if balanced well, it can compete decently against the majority of ranged champs.",JJ,2023-11-07T17:40:26Z,Top-level
I am so hyped for the *Hype* feature !,Cherryinka Citterberg,2023-11-07T17:39:06Z,Top-level
Is this game will have support on macos?,Renato Mota,2023-11-07T17:31:55Z,Top-level
:rocketW:,Junker,2023-11-07T17:29:02Z,Top-level
I get it that you have to be active and stuff like that but the number of people you invited to play is so small that these videos make no sense to us. Whatever changes you have made are relevant when 80% of the people here haven't even touched the game yet.,chips hit,2023-11-07T17:20:53Z,Top-level
"If one of your friends get invite, you can get referred and theres a very high chance you will get a key!",Katarinq,2023-11-07T17:36:53Z,Reply
"these videos were originally for internal use, would you rather not see these at all until you get in?",Mika Carney,2023-11-07T18:37:08Z,Reply
looks great!,Maybe,2023-11-07T17:14:07Z,Top-level
Hey thats me in the hype squad,SmarDon,2023-11-07T17:13:24Z,Top-level
Hypesquad picking storm shifts would be insane,Kimic,2023-11-07T17:13:02Z,Top-level
oh my god yes please,bladeprincess _,2023-11-07T19:52:49Z,Reply
what if they get to choose 3 that it is randomized between,bladeprincess _,2023-11-07T19:53:19Z,Reply
Definitely! Excited to see where this feature goes :)@bladeprincess _,Kimic,2023-11-08T01:24:57Z,Reply
Great changes across the board!,Neeko2lo,2023-11-07T17:12:00Z,Top-level
"The thought of giving everyone a melee is a really good idea, even if was just a push or something that doesn't do damage. Honestly really excited to see how it'll work with everyone's kit",Scaleoflife,2023-11-07T17:10:37Z,Top-level
Just waiting on my invite so I can try it. Still looks really cool,Kyle,2023-11-07T17:10:28Z,Top-level
"oh no, that just killed all of my hype for the game. I am so sad that you guys went in the fast TTK shooter direction. If anything, these games need to be slower, and more tactical, not faster. This sucks. God I was so excited for this game too. I really hope there's time to reconsider, I know I'm just one voice, but I was so excited for this game, and that's left me absolutely heartbroken. Please, don't ruin your game like this, it has so much potential.",Rowland Ernstsen,2023-11-07T17:08:48Z,Top-level
I can asure you it's still super tactical. It would feel really slow and sluggish if ttk was lower,Loki The Shady Spirit,2023-11-07T17:13:31Z,Reply
"Tbh the game plays amazing. Imo you still need to be tactical, and flights also feel great.",Katarinq,2023-11-07T17:35:56Z,Reply
gotta be tactical AND fast which is even better @Katarinq,bigdeadanimals,2023-11-07T18:07:30Z,Reply
"the game used to be slower and it was fucking boring LMAO, there is still plenty of strategy and I would say the TTK is more comparable now to Overwatch than let's say Paladins",Mika Carney,2023-11-07T18:39:57Z,Reply
"maybe don't be quick to judge and wait until you give it a try yourself, it's meaningless to have someone explain to you how a game will or will not work until you get a feel for it and form your judgement 👍",Aymen Bx,2023-11-07T19:31:07Z,Reply
Can’t wait to try this game 😊,Teda Bertrand,2023-11-07T17:06:12Z,Top-level
Game looks so beautiful ❤ really like the art direction,x Skag,2023-11-07T17:04:02Z,Top-level
🇧🇷🇧🇷 PLEASE COME TO BRAZIL 🇧🇷🇧🇷,Project Loki Brasil,2023-11-07T17:03:23Z,Top-level
I LOVE LOKI!!!,KNDFOUR,2023-11-07T17:02:45Z,Top-level
"that's an amazing patch to see, it's like a quality of life patch for a actual game not a beta version",motssem abedi,2023-11-07T17:02:02Z,Top-level
What about making melees tankier? So that they can take on average 1-2 extra hits?,D. G,2023-11-07T17:01:17Z,Top-level
"Maybe then it tilts towards ""melee spintowin in your face and you cant do anything"" that was at 2:06",bigdeadanimals,2023-11-07T18:04:59Z,Reply
@bigdeadanimals what about melees taking more damage when near a ranged and less damage when far away?,D. G,2023-11-07T18:40:04Z,Reply
oh thats like fall-off for bullets? actually sound like an interesting idea to fiddle with. And maybe slow sniper rifles may always deal full damage to still have long range fantasy option @D. G,bigdeadanimals,2023-11-08T01:28:04Z,Reply
"I reallly hope that the game make til mobile, cauz it gonna be wild, hope the game gets successfull as fast as possible, so that i don't wait allot",SOFIAN Chamam,2023-11-07T16:51:48Z,Top-level
Character design looks so good.... thank you for making this game 😭😭,JJ grpo,2023-11-07T16:47:00Z,Top-level
HYPED!!!!!,Hiển Lê Gia,2023-11-07T16:46:40Z,Top-level
I'm very excited! I really hope this game does well,Onlime,2023-11-07T16:44:55Z,Top-level
"Looks so cool! I registered for the playtest + i joined the discord yet i did not receive a key yet, are they still being given? Thank you!",Levi Groen,2023-11-07T16:42:43Z,Top-level
